Participant,Gender,Ethnicity,Age,Ceiling,avgPlan1,avgPlan2,avgPlanall,SAT,Pred4Time,Pred9Time,PredDiff,RankDiff1,RankDiff2,RankDiffall,avgSD1,avgSD2,avgSDall,AvgPredAcc1,AvgPredAcc2,AvgPredAcc,PuzzScor1,PuzzScor2,PuzzAcc,Clicks,CJTime,CJPuzzles,StrategyNo,ImproveNo,RefTimeAcc,RefPuzzAcc
43,Female/Other,Scottish,20,Y,0.275754936,0.234760463,0.2552577,9,331,595,264,2.4,5.2,3.8,1.505341374,3.738481197,2.621911286,0.20631687,0.132855254,0.169586062,10,10,20,87,4,,2,1,0.430413938,
44,Female,Asian,19,N,0.148371954,0.174077124,0.161224539,9,540,824,284,2.6,4.166666667,3.1875,2.751785496,6.870426711,4.811106104,0.288318331,0.30222068,0.295269506,6,3,9,162,4,3,2,1,0.304730494,0.15
45,Female,Pakistani,21,N,0.162493459,0.139463706,0.150978583,10,630,1074,444,3.7,2.6,3.15,3.194620144,6.8557573,5.025188722,0.434410444,0.213914318,0.324162381,7,7,14,137,0,2,2,2,0.675837619,0.5
46,Female,Indian,20,N,0.312845132,0.096590815,0.204717973,3,1052,1076,24,7.3,4,5.65,1.579325301,7.607181754,4.593253528,0.570146376,0.131955775,0.351051075,3,5,8,154,6,5,2,1,0.048948925,0.1
47,Female,Asian,21,Y,0.182945221,0.174860573,0.178902897,10,346,496,150,3.5,3.5,3.5,2.001406022,3.454019483,2.727712753,0.416566305,0.206262498,0.311414401,10,10,20,127,6,7,2,1,0.088585599,0.3
48,Female,Scottish,21,Y,0.230584844,0.194323418,0.212454131,6,377,650,273,3.4,5.5,4.333333333,1.32775323,4.340188894,2.833971062,0.243209182,0.376425773,0.302416556,10,10,20,117,8,10,2,2,0.102416556,0
49,Male,Italian,19,Y,0.234469252,0.198437987,0.21645362,6,258,558,300,3.4,5.4,4.4,0.995338222,3.904877108,2.450107665,0.239559631,0.118756966,0.179158299,10,10,20,109,8,10,2,2,0.020841701,0
50,Female,Austrian,22,N,0.150005135,0.151533826,0.15076948,6,672,711,39,6.6,6.8,6.7,2.0480867,5.167378764,3.607732732,0.378170073,0.320355277,0.349262675,9,10,19,176,6,7,1,1,0.050737325,0.25
51,Male,Austrian,24,N,0.186278144,0.126718328,0.156498236,5,824,967,143,3.9,5.8,4.85,2.142632049,6.883191005,4.512911527,0.499355997,0.297832189,0.398594093,10,9,19,132,7,6,0,1,0.098594093,0.35
52,Female,Austrian,24,N,0.224288704,0.198627539,0.211458121,8,413,686,273,3.3,6,4.65,1.605637129,4.208147473,2.906892301,0.419728001,0.290075347,0.354901674,10,9,19,109,6,9,2,1,0.045098326,0.05
53,Female,British,23,N,0.234006479,0.211449559,0.222728019,6,443,851,408,4.7,5.3,5,1.7495824,5.441882529,3.595732464,0.398572681,0.289131987,0.343852334,8,10,18,136,2,7,2,1,0.456147666,0.2
54,Female,Scottish,24,N,0.152184594,0.121805564,0.136995079,9,411,905,494,3.8,3.5,3.65,2.069367869,6.056520761,4.062944315,1.109266069,0.659765165,0.884515617,7,6,13,211,4,5,2,1,0.284515617,0.15
55,Male,Arab,25,Y,0.198586979,0.179248989,0.188917984,7,365,555,190,2.5,5.6,4.05,1.18666191,3.403508493,2.295085202,0.299068902,0.256599561,0.277834232,10,10,20,108,6,9,2,2,0.122165768,0.1
56,Male,British,23,Y,0.275469719,0.247903111,0.261686415,6,344,520,176,4.7,5.3,5,1.143761149,3.833220273,2.488490711,0.329787103,0.114953489,0.222370296,10,10,20,77,7,7,2,2,0.077629704,0.3
57,Female,Egyptian,22,N,0.225917192,0.256953178,0.241435185,7,510,810,300,3.3,6.2,4.75,1.87652593,5.434752849,3.655639389,0.25177501,0.155619175,0.203697092,8,10,18,159,7,7,2,2,0.096302908,0.2
58,Female,Canada,21,N,0.182281667,0.171019614,0.176650641,8,389,546,157,5.2,7.3,6.25,1.732420535,4.224582488,2.978501512,0.417588747,0.254338212,0.33596348,8,7,15,159,7,10,2,2,0.03596348,0.25
59,Female,Irish,25,N,0.121786881,0.090648164,0.106217523,3,1037,1140,103,6.1,5.8,5.95,2.457619087,7.690859216,5.074239151,0.333575423,0.190366532,0.261970977,6,5,11,156,7,5,2,2,0.038029023,0.05
60,Male,Italian,21,N,0.194265718,0.184843883,0.189554801,6,357,707,350,2,5.1,3.55,1.703336399,4.806968189,3.255152294,0.212790096,0.122531741,0.167660918,9,10,19,134,9,10,2,2,0.067660918,0.05
61,Male,Irish,21,N,0.266064381,0.263179194,0.264621788,8,345,537,192,2.625,5.4,4.166666667,1.625569928,3.785722283,2.705646106,0.217560607,0.215785828,0.216574618,9,7,16,100,6,8,2,2,0.183425382,0
62,Male,British,20,N,0.278462268,0.186368578,0.232415423,7,277,445,168,3.6,5.6,4.6,1.378675711,3.056816885,2.217746298,0.285174654,0.239545378,0.262360016,9,9,18,105,5,6,2,2,0.237639984,0.3
63,Male,Scottish,25,N,0.249454536,0.258545404,0.25399997,7,362,664,302,2.4,5,3.7,1.883891546,4.7310792,3.307485373,0.244038149,0.191588869,0.217813509,9,10,19,103,7,7,2,1,0.082186491,0.25
64,Male,British,20,N,0.164311661,0.148028536,0.156170098,8,740,954,214,5.5,6.6,6.05,2.488767114,6.67627556,4.582521337,0.290402661,0.219120484,0.254761573,6,8,14,183,5,8,2,1,0.245238427,0.1
65,Male,British,25,N,0.203934755,0.142018478,0.172976617,8,497,813,316,2.5,4.7,3.6,2.024048618,5.168071504,3.596060061,0.245368551,0.163414391,0.204391471,9,10,19,107,7,9,2,2,0.095608529,0.05
66,Male,British,22,Y,0.316670113,0.217574619,0.267122366,6,435,584,149,5.3,4.8,5.05,2.575529293,5.325870157,3.950699725,0.291843812,0.26235825,0.276325095,10,10,20,114,6,8,2,2,0.123674905,0.2
67,Male,Polish,20,Y,0.340814018,0.215998966,0.278406492,7,297,567,270,2.6,4.8,3.7,2.274406296,4.315634067,3.295020182,0.149477545,0.138647488,0.144062517,10,10,20,87,6,5,2,0,0.255937483,0.5
68,Male,British,22,N,0.200875058,0.180452939,0.190663999,6,402,774,372,3.1,5.5,4.3,1.720787977,5.083503568,3.402145772,0.291781446,0.239929902,0.265855674,9,10,19,91,5,9,2,1,0.234144326,0.05
69,Male,American,24,N,0.348996852,0.299499611,0.324248231,6,245,378,133,3.7,5.5,4.6,0.915334274,2.663885239,1.789609757,0.313115989,0.170433327,0.233847844,8,10,18,79,6,10,2,2,0.166152156,0.1
70,Male,italian,24,Y,0.289940494,0.169045457,0.229492975,9,253,452,199,4.4,3.9,4.15,0.900458901,3.269324748,2.084891824,0.49024537,0.253229059,0.371737214,10,10,20,84,4,5,2,1,0.228262786,0.5
71,Male,British,18,Y,0.283941126,0.248723183,0.266332155,8,158,267,109,2.5,3.8,3.15,0.404226739,1.602663961,1.00344535,0.170732649,0.12326034,0.146996494,10,10,20,77,9,9,2,2,0.046996494,0.1
72,Male,Bengali ,22,N,0.12856257,0.145816447,0.137189509,6,430,653,223,3.7,4.3,4,1.650692106,5.006591762,3.328641934,0.434374117,0.252406758,0.33328114,8,10,18,122,6,7,2,2,0.06671886,0.2
73,Male,Hungarian,25,N,0.589668742,0.204437237,0.397052989,7,391,517,126,4.1,4.3,4.2,1.428689241,3.749505159,2.5890972,0.357221091,0.253859355,0.305540223,10,9,19,88,6,9,2,2,0.094459777,0.05
74,Male,French,21,N,0.376889929,0.279306629,0.328098279,6,261,476,215,3.3,5.4,4.35,0.934423081,3.625027396,2.279725239,0.39570027,0.272301678,0.334000974,8,9,17,73,5,4,0,0,0.165999026,0.45
75,Male,asian,25,N,0.23701689,0.180523234,0.208770062,8,392,606,214,3.1,5.5,4.3,2.088411705,4.051586197,3.069998951,0.279451804,0.324123192,0.301787498,9,9,18,72,7,9,2,1,0.001787498,0
76,Male,British,22,N,0.160704115,0.186799927,0.173752021,8,287,664,377,3.1,5.8,4.45,1.276952961,4.536172005,2.906562483,0.250682156,0.298367953,0.274525055,7,7,14,197,8,10,2,1,0.074525055,0.3
77,Male,Dutch,24,Y,0.306876637,0.24572777,0.276302204,8,235,515,280,2.1,4.7,3.4,1.10423828,3.78981526,2.44702677,0.261544083,0.217406336,0.23947521,10,10,20,79,8,6,2,2,0.03947521,0.4
