ID,Guessed,Random,GTD,feedback,smaller,red_white,bothgf,bothsrw,atleastgf,atleastrsw,best,none,GTD2, feedback2,smaller2,red_white2,bothgf2,bothsrw2,atleastgf2,atleastsrw2,StratNo,PuzzAcc,SAT,RankAcc,PAAcc,CJTime,CJPuzz,RefTimeAcc,RefPuzzAcc,AvgPredNoZ,RefTimeAccNoZ
22BC26,N,N,N,N,Y,N,N,M,N,Y,N,N,N,Y,N,N,M,N,Y,N,2,17,10,2.85,0.454106334,6,4,0.054106334,0.45,0.454106334,0.054106334
22BD28,N,N,N,Y,Y,N,M,M,Y,Y,N,N,N,N,N,Y,N,M,N,Y,3,19,10,3.95,0.259958617,5,8,0.240041383,0.15,0.259958617,0.240041383
22BE32,N,Y,N,N,Y,Y,N,H,N,Y,N,N,Y,Y,Y,N,H,M,Y,Y,3,8,1,7.3,0.147259167,10,10,0.147259167,0.6,0.147259167,0.147259167
22BF34,N,N,Y,N,N,N,M,N,Y,N,N,N,N,Y,Y,N,M,M,Y,Y,2,17,10,2.95,0.301700076,6,7,0.098299924,0.15,0.301700076,0.098299924
22BG36,N,N,Y,Y,N,N,H,N,Y,N,N,N,N,N,Y,Y,N,H,N,Y,3,19,10,4.45,0.29404583,7,8,0.00595417,0.15,0.29404583,0.00595417
22BG42,N,N,Y,N,N,Y,M,M,Y,Y,Y,N,N,N,N,N,N,N,N,N,3,15,9,2.9,0.301539315,2,2,0.498460685,0.55,0.301539315,0.498460685
22BH38,N,N,Y,N,N,N,M,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2,4,4,7.4,0.322417776,5,5,0.177582224,0.3,0.322417776,0.177582224
22BH44,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,1,1,0,7,6.294285519,2,2,5.494285519,0.15,0.418251474,0.381748526
22BJ46,N,N,Y,N,Y,Y,M,H,Y,Y,Y,N,N,N,N,N,N,N,N,N,4,18,10,4,0.302739961,7,8,0.002739961,0.1,0.302739961,0.002739961
22BK48,N,N,Y,Y,Y,Y,H,H,Y,Y,N,N,N,N,Y,N,N,M,N,Y,5,20,10,3.3,0.199093526,6,6,0.200906474,0.4,0.199093526,0.200906474
22BL52,N,N,Y,N,N,N,M,N,Y,N,N,N,N,N,N,N,N,N,N,N,2,15,3,6.4,0.431264811,6,6,0.031264811,0.15,0.431264811,0.031264811
22BX36,N,N,Y,Y,N,N,H,N,Y,N,N,Y,N,N,Y,N,N,M,N,Y,3,15,10,4,0.312186409,4,5,0.287813591,0.25,0.312186409,0.287813591
22CJ56,N,N,Y,N,N,N,M,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2,9,7,3.75,0.481624579,5,4,0.018375421,0.05,0.481624579,0.018375421
22CK55,N,N,N,N,Y,N,N,M,N,Y,N,N,N,N,Y,N,N,M,N,Y,2,14,10,2.9,0.267333318,7,6,0.032666682,0.1,0.267333318,0.032666682
22CR44,N,N,N,N,N,Y,N,M,N,Y,Y,N,N,N,N,N,N,N,N,N,2,19,9,3.2,0.308222148,4,5,0.291777852,0.45,0.308222148,0.291777852
22CS46,N,N,Y,Y,N,N,H,N,Y,N,Y,N,N,N,N,N,N,N,N,N,3,17,10,3,0.208979717,5,7,0.291020283,0.15,0.208979717,0.291020283
22CT58,N,N,Y,Y,Y,N,H,M,Y,Y,N,N,Y,Y,Y,N,H,M,Y,Y,4,16,10,4.1,0.3583721,7,7,0.0583721,0.1,0.3583721,0.0583721
22CU48,N,N,Y,N,N,N,M,N,Y,N,N,N,Y,N,N,N,M,N,Y,N,2,12,9,3.5,0.325245771,4,7,0.274754229,0.1,0.325245771,0.274754229
22CV52,N,N,Y,N,Y,N,M,M,Y,Y,N,N,Y,N,Y,N,M,M,Y,Y,3,10,1,6.25,8.101388406,7,7,7.801388406,0.2,0.324267616,0.024267616
22CW54,N,N,Y,N,N,N,M,N,Y,N,N,N,Y,N,N,N,M,N,Y,N,2,7,8,4.15,0.538537824,5,7,0.038537824,0.35,0.538537824,0.038537824
22LL77,N,N,Y,N,N,N,M,N,Y,N,N,N,N,N,Y,N,N,M,N,Y,2,14,9,4,8.317403357,7,6,8.017403357,0.1,0.274258172,0.025741828
44AA22,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,M,N,Y,N,1,20,9,3.3,0.253835277,5,5,0.246164723,0.5,0.253835277,0.246164723
