Participant,Puzzle1,Puzzle2,Puzzle3,Puzzle4,Puzzle5,Puzzle6,Puzzle7,Puzzle8,Puzzle9,Puzzle10,Puzzle11,Puzzle12,Puzzle13,Puzzle14,Puzzle15,Puzzle16,Puzzle17,Puzzle18,Puzzle19,Puzzle20,TotScore,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,TotalTime,Clicks 1,Clicks 2,Clicks 3,Clicks 4,Clicks 5,Clicks 6,Clicks 7,Clicks 8,Clicks 9,Clicks 10,Clicks 11,Clicks 12,Clicks 13,Clicks 14,Clicks 15,Clicks 16,Clicks 17,Clicks 18,Clicks 19,Clicks 20,TotalClicks
26,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,33.81265104,76.09839018,43.57423736,107.6654658,31.69786412,120,25.42278197,84.09597868,21.85697717,90.97392506,23.24193786,66.12503989,19.12566178,67.49808582,19.94399191,76.35978103,33.8373651,58.97976931,74.88862063,53.23358881,1128.432114,8,19,8,24,5,18,7,12,5,14,4,9,5,15,5,16,5,13,14,10,216
27,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,10,27.99784416,107.8651993,33.32701369,120,25.81317309,87.81909944,98.67743516,106.9548047,27.93440888,43.19763646,21.65102292,50.31223769,26.70460644,58.81379404,17.07107007,46.17291026,32.64855216,113.6781998,63.05201504,57.60794802,1167.298971,8,34,9,29,6,21,29,27,4,11,5,14,8,14,5,13,8,24,12,15,296
28,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,11,29.3805431,62.07558704,23.8117469,1.560058055,36.82925071,120,33.08814421,120,33.77059039,81.73843094,33.62545137,120,25.46662384,108.1442601,35.00438913,109.9660869,56.89023997,120,62.457742,120,1333.809145,6,13,4,0,9,26,8,22,4,16,4,25,4,18,6,17,6,16,11,20,235
29,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,10,66.09028979,120,106.4667881,120,43.96644516,120,73.54068532,120,35.11489842,120,67.57921899,120,26.97835712,120,30.36690031,120,57.7411093,120,106.1266494,120,1813.971342,8,20,26,22,9,16,18,22,6,24,11,23,6,15,4,24,6,16,22,20,318
30,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,4,120,120,120,63.35519549,84.07896659,49.61447201,45.03992207,44.76962886,36.83861774,26.6989992,60.74252849,54.86379834,42.72504381,29.65785994,44.82718957,48.41278419,90.05153778,91.47075591,117.9871816,120,1411.134482,29,29,30,12,27,10,10,10,5,4,11,10,8,4,9,7,12,15,24,24,290
31,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,12,39.6382684,78.9988584,39.69802508,77.01878118,45.46964043,80.64166569,42.17517901,78.48963646,73.87930259,79.54898305,54.16292088,72.84321401,29.37425238,74.59051513,33.25253933,78.39159944,39.83100767,77.30306894,46.65950587,88.53529127,1230.502255,7,15,4,15,4,12,8,14,9,11,9,11,4,11,5,12,6,11,10,14,192
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,32.73709541,78.42713698,28.64092427,78.29036087,41.94056537,86.26092837,38.25745738,109.4913321,27.01735821,77.70012284,30.6601808,82.94906556,35.54861275,94.47792259,21.31972805,59.79525921,36.78178066,64.06170337,63.86013965,64.56984503,1152.787519,7,22,5,17,5,12,9,16,5,15,6,18,7,14,6,13,6,11,15,13,222
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90.49631884,120,120,120,120,120,64.76523235,120,120,120,120,120,95.09737478,120,120,120,120,120,120,120,2290.358926,14,19,23,22,20,18,10,13,13,10,9,13,9,5,12,15,15,16,12,13,281
34,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,13,32.7341278,76.87168676,54.38976459,120,37.38853388,120,28.68264519,120,30.46673425,120,31.30022893,120,25.31069181,84.6285906,36.22876946,78.36202514,29.94907209,120,65.01370014,120,1451.326571,9,17,7,23,4,21,4,22,7,20,4,19,4,12,4,12,5,18,11,22,245
35,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,17,37.15835223,95.99432559,38.33932514,113.7744225,29.10403731,76.97912554,20.58421838,120,19.63059341,118.4528078,26.41373075,120,24.23004403,71.40769384,23.84662285,118.1735723,34.31591136,68.95022909,80.10998138,120,1357.464994,8,24,8,14,5,13,4,23,5,17,4,20,5,10,6,20,6,11,15,17,235
