Participant,Puzzle1,Puzzle2,Puzzle3,Puzzle4,Puzzle5,Puzzle6,Puzzle7,Puzzle8,Puzzle9,Puzzle10,Puzzle11,Puzzle12,Puzzle13,Puzzle14,Puzzle15,Puzzle16,Puzzle17,Puzzle18,Puzzle19,Puzzle20,TotScore,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,TotalTime,Clicks 1,Clicks 2,Clicks 3,Clicks 4,Clicks 5,Clicks 6,Clicks 7,Clicks 8,Clicks 9,Clicks 10,Clicks 11,Clicks 12,Clicks 13,Clicks 14,Clicks 15,Clicks 16,Clicks 17,Clicks 18,Clicks 19,Clicks 20,TotalClicks
63,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,25.99301138,70.48308808,26.86035685,71.30096877,22.12476811,59.70044644,23.4258123,88.10695569,19.89301096,43.54239323,21.90924652,51.06210252,43.61521439,92.30668881,44.79633944,64.83749503,52.16772953,51.67700382,48.21760024,42.55933549,964.5795676,8,16,5,14,6,12,10,16,5,11,6,10,10,21,13,14,10,10,15,11,223
64,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,14,58.67305203,120,104.7682393,120,35.66468606,72.39814242,18.63237026,94.73417042,33.3306623,110.5435717,44.79235624,67.77288419,88.88544719,76.58806849,65.52387541,50.30478458,46.54737133,55.88266763,52.21197655,55.57043388,1372.82476,20,44,30,18,4,13,5,18,8,23,8,11,15,12,15,10,14,12,12,15,307
65,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19,25.49649028,61.87144514,40.5446826,72.92132165,24.31985133,72.20192174,27.82637531,119.3295477,26.31629775,75.22165093,27.71439635,69.60146706,66.61940849,105.6653806,73.05682038,64.61217211,63.75209123,74.84178021,60.83645055,74.43220865,1227.18176,4,11,8,13,4,16,5,25,6,15,6,13,15,18,11,10,9,14,12,13,228
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,28.66400003,63.96300006,27.68200016,108.941,24.86399984,57.31200004,21.36399984,81.09599996,14.75100017,60.14499998,17.94700003,78.74099994,63.58400011,59.85500002,49.08099985,54.14400005,71.11300015,80.31000018,51.63200021,45.34100008,1060.530001,9,12,7,26,6,11,9,18,5,11,6,18,14,11,10,12,18,21,21,18,263
67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,20.06499982,56.73799992,21.34899998,68.94599986,27.31399989,63.26099992,20.2809999,58.41900015,19.20000005,48.7579999,20.59200001,44.47099996,38.45799994,42.87199998,40.10100007,39.16899991,48.13699985,46.97300005,43.40100002,35.30099988,803.8059991,7,10,5,12,6,14,5,11,5,12,5,12,11,10,11,10,10,11,11,12,190
68,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,17.5940001,120,20.61199999,62.29400015,25.6170001,56.47600007,12.86199999,60.14499998,14.16400003,74.41000009,16.09399986,63.14499998,49.44700003,39.83100009,44.77699995,48.95700002,52.5309999,64.32799983,40.85899997,73.14400005,957.2870002,4,20,7,10,4,12,4,12,4,14,4,12,11,9,9,12,10,12,9,14,193
69,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,18,17.50699997,34.44999981,17.19499993,34.62000012,11.38199997,44.71599984,13.25899982,33.78700018,17.59299994,30.5170002,10.28500009,27.13600016,24.30900002,28.12000012,25.829,32.61500001,29.45300007,35.80299997,30.07700014,31.75899982,530.4120002,7,10,6,9,4,13,5,9,6,10,4,10,10,9,10,9,9,10,11,13,174
70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,12.22800016,25.12699986,25.329,57.08700013,11.21799994,29.90099978,11.86100006,31.91000009,11.82700014,39.70700002,15.65499997,37.61299992,27.69700003,34.86800003,33.52600002,43.64599991,37.61199999,32.46500015,26.32800007,29.99699998,575.6020002,4,11,8,15,4,11,4,12,4,11,6,11,10,13,10,10,10,9,12,12,187
71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,9.407999992,29.32999992,10.82500005,23.43499994,9.230000019,22.76799989,9.197999954,39.19000006,9.953999996,24.05499983,10.71199989,29.58800006,25.26300001,29.17499995,24.63800001,21.02200007,22.99900007,21.82299995,25.26600003,28.13700008,426.0159998,4,11,4,9,4,9,4,18,4,10,4,9,10,10,9,9,9,9,11,13,170
72,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,14.9610002,120,20.41799998,118.967,22.13899994,57.15799999,12.93900013,87.2750001,10.0079999,107.1340001,22.875,77.82800007,50.30900002,89.29400015,58.02499986,55.9000001,56.42299986,85.96399999,60.80999994,86.171,1214.598,4,25,6,30,5,9,4,13,4,22,4,15,11,17,9,9,10,19,12,14,242
73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,19,14.2579999,31.9829998,30.773,52.0480001,25.70600009,55.38000011,13.97599983,66.17799997,14.52699995,54.43199992,16.05900002,40.31599998,49.62999988,36.94799995,41.50200009,38.5630002,56.02399993,75.56999993,7.737999916,55.91799998,777.5289996,5,9,6,16,5,13,4,14,4,12,4,12,13,9,11,10,10,14,1,15,187
74,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,17,10.95799994,64.44099998,16.77600002,36.19300008,12.47200012,22.97199988,9.848999977,31.39100003,9.638000011,35.18599987,9.684000015,31.13400006,23.82299995,25.35800004,22.16600013,35.54200006,28.86099982,32.59599996,30.88800001,21.57999992,511.5079999,3,16,4,10,4,8,4,9,4,11,5,10,11,10,8,13,9,12,10,11,172
75,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,18,20.06100011,93.78999996,20.80499983,56.53299999,29.97100019,48.81200004,6.246000051,60.50399995,27.89100003,67.85400009,24.54799986,53.63600016,22.17299986,64.91300011,44.26900005,55.87100005,45.51600003,47.99699998,54.27600002,57.3809998,903.0470002,4,11,4,11,6,9,1,10,6,10,4,10,6,11,10,9,10,9,12,15,168
76,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,14,22.75999999,104.6830001,21.44499993,67.30000019,26.98199987,69.34899998,14.10000014,70.98300004,12.77699995,102.6159999,20.66899991,88.13100004,50.46700001,62.77800012,47.00399995,64.30800009,70.51300001,79.2349999,1.907999992,4.855000019,1002.863,8,24,4,25,11,29,11,31,9,42,9,40,22,25,19,29,33,39,1,2,413
77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,12.8360002,53.4380002,14.77199984,37.04200006,14.58899999,35.55999994,13.78799987,38.64199996,11.94000006,41.125,12.47300005,38.10899997,29.44499993,39.12399983,31.42799997,37.75699997,28.32800007,33.2440002,29.5619998,29.70900011,582.911,4,14,5,10,4,10,4,11,6,11,5,11,10,15,10,11,9,9,11,11,181
