Participant,Age,IPT,TotalTime,avgPlanall,PlanAccGam,SAT,RankDiffall,Pred4Time,Pred9Time,AvgPredAcc,MonFail,PrAccNFail,CJT,CJP,RefTimeAcc,RefPuzzAcc,StratUsed,StratImp,PuzzAcc,Plan1,Plan2,Plan3,Plan4,MonCon1,MonCon2,MonCon3,MonCon4,Eval1,Eval2,Eval3,Know1,Know2,Evalb,Evalc
82,11,285.092752,1730.20168,0.162340797,0.2142857,1,6.25,958,960,8.101388406,Y,0.324267616,7,7,7.801388406,0.2,2,1,10,0.162340797,0.2142857,0.1,0.375,-0.007101388,0.9,0.675732384,0.6,-0.006801388,0.8,0.975732384,2,1,0.006801388,0.8
83,12,329.1940621,1614.466975,0.180441748,0.2380952,8,4.15,793,1044,0.538537824,N,0.538537824,5,7,0.038537824,0.35,2,1,7,0.180441748,0.2380952,0.8,0.585,0.461462176,1,0.461462176,-0.07692308,0.961462176,0.65,0.961462176,2,1,0.961462176,0.65
84,11,273.60378,1513.197413,0.16244228,0.4133333,9,4,621,885,8.317403357,Y,0.274258172,7,6,8.017403357,0.1,2,1,14,0.16244228,0.4133333,0.9,0.6,-0.007317403,0.9,0.725741828,-0.02380952,-0.007017403,0.9,0.974258172,2,1,0.007017403,0.9
86,25,225.7677079,1321.179692,0.156648662,0.44,9,4.8,553,1002,0.397624332,N,0.397624332,6,,0.097595091,,2,1,16,0.156648662,0.44,0.9,0.52,0.602375668,1,0.602375668,0.6875,0.902404909,NA,0.997624332,2,1,0.902404909,0.8
87,23,168.0662092,716.5969084,0.202355638,-0.1428571,10,5.65,326,491,0.325491838,N,0.325491838,6,,0.074508162,,2,2,17,0.202355638,-0.1428571,1,0.435,0.674508162,1,0.674508162,0.01960784,0.925491838,NA,0.925491838,2,2,0.925491838,0.75
88,25,127.846311,414.6484708,0.257041154,-0.4814815,10,4.2,135,323,0.198019941,N,0.198019941,9,,0.098019941,,2,2,12,0.257041154,-0.4814815,1,0.58,0.801980059,1,0.801980059,0.625,0.901980059,NA,0.901980059,2,2,0.901980059,0.7
89,23,173.3358789,1345.594431,0.121541439,0.2258065,2,6.05,1018,1085,0.70059212,N,0.70059212,3,,0.123764981,,2,0,13,0.121541439,0.2258065,0.2,0.395,0.29940788,1,0.29940788,0.1648352,0.876235019,NA,0.99940788,2,0,0.876235019,0.65
90,25,215.3492767,951.0521092,0.191385695,0.3333333,8,3.666666667,402,743,0.336472492,Y,0.336472492,6,,0.063527508,,2,1,19,0.191385695,0.3333333,0.8,0.633333333,0.663527508,0.9,0.663527508,0.4736842,0.936472492,NA,0.936472492,2,1,0.936472492,0.65
91,23,278.4986604,1212.30488,0.200368399,0,9,3.8,507,861,0.376037195,N,0.376037195,9,,0.221809789,,2,2,17,0.200368399,0,0.9,0.62,0.623962805,1,0.623962805,0.7254902,0.778190211,NA,0.723962805,2,2,0.778190211,0.95
93,20,265.7356778,876.166398,0.2491626,0.4285714,10,4.25,321,777,0.247840806,N,0.247840806,6,,0.152159194,,2,2,17,0.2491626,0.4285714,1,0.575,0.752159194,1,0.752159194,0.372549,0.847840806,NA,0.847840806,2,2,0.847840806,0.75
